PLU,BARCODE,PRICE,NAME,UNIT,DEPT
1,2701001,6995,MNV DOMATES,Kg,1
2,2701002,11995,MNV SALKIM  DOMATES,Kg,1
3,2701003,11995,MNV PEMBE DOMATES,Kg,1
4,2701004,7995,MNV «ENGELK÷Y SALATA,Kg,1
5,2701005,4795,MNV PATATES,Kg,1
6,2701006,5995,MNV SOGAN,Kg,1
7,2701007,11995,‹R‹N 7,Kg,1
8,2701008,14995,MNV LiMON,Kg,1
9,2701009,14995,MNV SiVRi BiBER,Kg,1
10,2701010,7995,MNV SEFTALi KG,Kg,1
11,2701011,22500,MNV MEKSiKA BiBERi,Kg,1
12,2701012,14995,MNV KAPYA BiBER,Kg,1
13,2701013,30000,MNV SARIMSAK,Kg,1
14,2701014,2495,MNV KARPUZ,Kg,1
15,2701015,4995,MNV KIRKAGA« KAVUN K,Kg,1
16,2701016,17995,MNV MUZ iTHAL,Kg,1
17,2701017,7995,MNV NEKTARi,Kg,1
18,2701018,15000,MNV L‹X iNCiR,Kg,1
19,2701019,4000,MNV salatalik,Kg,1
20,2701020,25000,iNCiR,Kg,1
21,2701021,12995,MNV YESiL FASULYE KG,Kg,1
22,2701022,10995,MNV EKSi ELMA,Kg,1
23,2701023,2495,MNV KARPUZ,Kg,1
24,2701024,5995,MNV BiGA KAVUNU,Kg,1
25,2701025,12995,MNV KAYISI,Kg,1
26,2701026,2995,MNV «EKiRDEKSiZ KARP,Kg,1
27,2701027,24900,MNV L‹X «iLEK,Kg,1
28,2701028,12995,MNV SANTA ARMUT,Kg,1
29,2701029,6900,MNV PORTAKAL,Kg,1
30,2701030,5995,MNV PATLICAN KG,Kg,1
31,2701031,7995,MNV KABAK KG,Kg,1
32,2701032,7995,MNV HAVU«,Kg,1
33,2701033,2950,MNV PETEMEK DOMATES,Kg,1
34,2701034,13500,MNV DOLMA BiBER KG,Kg,1
35,2701035,5000,MNV KIVIRCIK ADET,Kg,1
36,2701036,2500,MNV MAYDONOZ ADET,Kg,1
37,2701037,3000,MNV ROKA ADET,Kg,1
38,2701038,4000,MNV DERE OTU ADET,Kg,1
39,2701039,60000,ELiT «iKOLATA D÷KME,Kg,1
40,2701040,84500,MANSUR SEYLAN «AYI,Kg,1
41,2701041,8500,IRMAK KITLAMA SEKER,Kg,1
42,2701042,12500,MNV TAZE HURMA KG,Kg,1
43,2701043,8000,MNV KIRMIZI LAHANA,Kg,1
44,2701044,5000,MNV G÷BEK ADET,Kg,1
45,2701045,25000,MNV YESiL SOGAN KG,Kg,1
46,2701046,80000,CEZERYE SARMA KG,Kg,1
47,2701047,9500,MNV AVAKADO ADET,Kg,1
48,2701048,80000,MNV muska cezerye sa,Kg,1
49,2701049,9900,LUX KAYISI,Kg,1
50,2701050,10500,B‹T‹N TAVUK,Kg,1
51,2701051,13500,BEYPiLi« KAL«ALI BUT,Kg,1
52,2701052,2500,SEMiZ OTU ADET,Kg,1
53,2701053,19500,BEYPiLi« BONFiLE,Kg,1
54,2701054,19500,BEYPiLi« KARISIK IZG,Kg,1
55,2701055,18500,BEYPiLi« DERiLi KANA,Kg,1
56,2701056,19500,BEYPiLi« BUT KEMiKSi,Kg,1
57,2701057,79500,ERZiNCAN TULUM,Kg,1
58,2701058,7500,MNV MISIR NiSASTASI,Kg,1
59,2701059,50000,MANDA KAYMAK,Kg,1
60,2701060,29500,BAYRAMLIK D÷KME SEKE,Kg,1
61,2701061,4000,MNV NANE ADET,Kg,1
62,2701062,7995,musmula,Kg,1
63,2701063,12500,MNV KOKTEYL,Kg,1
64,2701064,4000,MNV YESiL SOGAN,Kg,1
65,2701065,7000,MNV KIRMIZI LAHANA K,Kg,1
66,2701066,13500,÷G‹T  G÷NEN BALDO Pi,Kg,1
67,2701067,5000,BASHAN  BULGUR KG,Kg,1
68,2701068,15000,÷G‹T KIRMIZI MERCiME,Kg,1
69,2701069,12500,÷G‹T NiGDE KURU  FAS,Kg,1
70,2701070,5995,MNV BROKOLi KG,Kg,1
71,2701071,28500,MNV KESTANE KASTAMON,Kg,1
72,2701072,24000,MNV ANANAS ADET,Kg,1
73,2701073,4995,MNV KARNIBAHAR KG,Kg,1
74,2701074,5995,MNV KEREViZ KG,Kg,1
75,2701075,40000,EGE «iFTLiGi DiLiMLi,Kg,1
76,2701076,25000,MNV KiRAZ PK,Kg,1
77,2701077,29500,MANTI KARAKUS EV MAN,Kg,1
95,2700095,49951,DOMATES,Kg,1
